leg,arch,subset_size,n_reactions,n_density_species,E_kcalmol,D_rmse,gamma,gammaD_kcalmol,ED_kcalmol,E_pbe_kcalmol,D_pbe_rmse,ED_pbe_kcalmol,beats_pbe,E_scan_kcalmol,D_scan_rmse,ED_scan_kcalmol,beats_scan,ED_pbe_cell_kcalmol,ED_scan_cell_kcalmol,n_reactions_slice,D_insample_rmse,n_insample_species
wtmad2,medium,1,177,178,9.674258305456881,0.00022907473580736736,38283.27949515679,8.769732136192646,9.1998154329564,8.915174138633205,0.00023287383568487284,8.915174138633205,False,,,,,8.94877390397355,,177,9.52292339038838e-05,1
wtmad2,medium,2,177,176,17.529330700026854,0.00027333861863109246,38283.27949515679,10.464298733874184,13.105278362212767,8.915174138633205,0.00023287383568487284,8.915174138633205,False,,,,,8.926285011526,,177,8.284633598943358e-05,3
wtmad2,medium,3,176,174,9.550940072676568,0.0002702383082327363,38283.27949515679,10.345608684372174,9.932404837275651,8.915174138633205,0.00023287383568487284,8.915174138633205,False,,,,,8.841275163785594,,176,0.00012857576964064936,3
wtmad2,medium,4,175,173,11.05960910272859,0.00026004242944793456,38283.27949515679,9.95527700715487,10.47842673358416,8.915174138633205,0.00023287383568487284,8.915174138633205,False,,,,,8.877969223577697,,175,0.00011637044860506084,4
wtmad2,medium,5,176,174,15.683938955774858,0.0002538172010048852,38283.27949515679,9.716954846748411,11.999587718230893,8.915174138633205,0.00023287383568487284,8.915174138633205,False,,,,,8.841275163785594,,176,9.34327468458045e-05,4
wtmad2,medium,6,175,173,13.848989058323685,0.00023757488128562775,38283.27949515679,9.095145581286381,10.979587909290334,8.915174138633205,0.00023287383568487284,8.915174138633205,False,,,,,8.876199257203941,,175,8.994125924933925e-05,5
wtmad2,medium,7,175,171,6.447635799965546,0.00022461791545277818,38283.27949515679,8.599110436898204,7.369557700782839,8.915174138633205,0.00023287383568487284,8.915174138633205,True,,,,,9.005161933257522,,175,0.00010298488080707395,6
wtmad2,medium,12,169,165,7.420047136529189,0.0002401306413592853,38283.27949515679,9.192988458508777,8.211913746585584,8.915174138633205,0.00023287383568487284,8.915174138633205,True,,,,,9.103232557454241,,169,0.00011743104483682743,11
wtmad2,medium,15,168,161,7.291449309880365,0.00023892662759519414,38283.27949515679,9.146894863062059,8.114457214808883,8.915174138633205,0.00023287383568487284,8.915174138633205,True,,,,,9.155021348657405,,168,0.0001099458869396512,14
wtmad2,medium,18,166,160,6.862377208115911,0.00024085362691611098,38283.27949515679,9.220666716651696,7.86862156392424,8.915174138633205,0.00023287383568487284,8.915174138633205,True,,,,,9.16809829661289,,166,0.00012059918040718145,16
