leg,arch,subset_size,n_reactions,n_density_species,E_kcalmol,D_rmse,gamma,gammaD_kcalmol,ED_kcalmol,E_pbe_kcalmol,D_pbe_rmse,ED_pbe_kcalmol,beats_pbe,E_scan_kcalmol,D_scan_rmse,ED_scan_kcalmol,beats_scan,ED_pbe_cell_kcalmol,ED_scan_cell_kcalmol,n_reactions_slice,D_insample_rmse,n_insample_species
wtmad2,deep_3x16,1,177,188,11.287041656832459,0.0003744178891011482,38178.84139425653,14.294841203165069,12.61411984574655,8.915174138633205,0.0002335108613320667,8.915174138633205,False,,,,,8.948230056769809,,177,9.001825639530167e-05,1
wtmad2,deep_3x16,2,177,186,15.24215789086715,0.0003194048622755728,38178.84139425653,12.194507577373445,13.549067040297373,8.915174138633205,0.0002335108613320667,8.915174138633205,False,,,,,8.925624865703737,,177,8.042312587803246e-05,3
wtmad2,deep_3x16,3,176,184,9.448512026161591,0.00031330796817450235,38178.84139425653,11.961735224491099,10.557617368843736,8.915174138633205,0.0002335108613320667,8.915174138633205,False,,,,,8.839505606338898,,176,0.00012329543351992335,3
wtmad2,deep_3x16,4,175,183,8.064474479347835,0.0003263528625395996,38178.84139425653,12.459774177460977,9.791494203052055,8.915174138633205,0.0002335108613320667,8.915174138633205,False,,,,,8.875348479497292,,175,0.00010510206405250218,4
wtmad2,deep_3x16,5,176,184,12.634465379046388,0.00030693345147460457,38178.84139425653,11.718363562440661,12.159183566268222,8.915174138633205,0.0002335108613320667,8.915174138633205,False,,,,,8.839505606338898,,176,9.190754623070884e-05,4
wtmad2,deep_3x16,6,175,183,9.886502320285306,0.00029322674562220395,38178.84139425653,11.19505741366413,10.500168155744213,8.915174138633205,0.0002335108613320667,8.915174138633205,False,,,,,8.873632567231768,,175,8.72064536876666e-05,5
wtmad2,deep_3x16,7,175,181,6.16380284448976,0.00037919025466790044,38178.84139425653,14.477044591213513,8.646316379120758,8.915174138633205,0.0002335108613320667,8.915174138633205,True,,,,,9.002250883279846,,175,0.00010265239865048864,6
wtmad2,deep_3x16,12,169,175,7.438792231246515,0.00028463606452278865,38178.84139425653,10.867075162500916,8.831913020717591,8.915174138633205,0.0002335108613320667,8.915174138633205,True,,,,,9.099016592018602,,169,0.00011434607971136326,11
wtmad2,deep_3x16,15,168,171,8.223270369633815,0.0003498269681184273,38178.84139425653,13.355988331227072,10.179210011229253,8.915174138633205,0.0002335108613320667,8.915174138633205,False,,,,,9.148640195214696,,168,0.0001058102175411456,14
wtmad2,deep_3x16,18,166,170,7.85944936219426,0.00029468665350306986,38178.84139425653,11.250795005097935,9.254204386662652,8.915174138633205,0.0002335108613320667,8.915174138633205,False,,,,,9.162163233404781,,166,0.00011740868240274393,16
mae,deep_3x16,1,177,188,8.19643938039254,0.0003744178891011482,49564.747124004294,18.557927992001893,11.370773952149712,11.57390679263232,0.0002335108613320667,11.57390679263232,True,,,,,11.627520506935571,,177,9.001825639530167e-05,1
mae,deep_3x16,2,177,186,29.83223402110811,0.0003194048622755728,49564.747124004294,15.831221228866184,20.68528077667695,11.57390679263232,0.0002335108613320667,11.57390679263232,False,,,,,11.555424418126085,,177,8.042312587803246e-05,3
mae,deep_3x16,3,176,184,18.74620016824766,0.00031330796817450235,49564.747124004294,15.529030214504795,16.986628861077566,11.57390679263232,0.0002335108613320667,11.57390679263232,False,,,,,11.583648456172124,,176,0.00012329543351992335,3
mae,deep_3x16,4,175,183,14.679651015365796,0.0003263528625395996,49564.747124004294,16.175597104970187,15.391360298906454,11.57390679263232,0.0002335108613320667,11.57390679263232,False,,,,,11.626840149745355,,175,0.00010510206405250218,4
mae,deep_3x16,5,176,184,20.75251248506262,0.00030693345147460457,49564.747124004294,15.213078906236618,17.556202899769048,11.57390679263232,0.0002335108613320667,11.57390679263232,False,,,,,11.583648456172124,,176,9.190754623070884e-05,4
mae,deep_3x16,6,175,183,18.126216153150857,0.00029322674562220395,49564.747124004294,14.533709496759272,16.132379642822908,11.57390679263232,0.0002335108613320667,11.57390679263232,False,,,,,11.635355179706057,,175,8.72064536876666e-05,5
mae,deep_3x16,7,175,181,8.081448179317649,0.00037919025466790044,49564.747124004294,18.794469084501273,11.302797703478449,11.57390679263232,0.0002335108613320667,11.57390679263232,True,,,,,11.603073167446487,,175,0.00010265239865048864,6
mae,deep_3x16,12,169,175,9.038669563392626,0.00028463606452278865,49564.747124004294,14.10791456044379,11.018194067703476,11.57390679263232,0.0002335108613320667,11.57390679263232,True,,,,,11.541426914561656,,169,0.00011434607971136326,11
mae,deep_3x16,15,168,171,8.560008158404694,0.0003498269681184273,49564.747124004294,17.339085211946962,11.461614408745993,11.57390679263232,0.0002335108613320667,11.57390679263232,True,,,,,11.56147873318642,,168,0.0001058102175411456,14
mae,deep_3x16,18,166,170,8.473597312581937,0.00029468665350306986,49564.747124004294,14.606069461698732,10.725107268529262,11.57390679263232,0.0002335108613320667,11.57390679263232,True,,,,,11.43934688058063,,166,0.00011740868240274393,16
wtmad2_eps_gamma_dfs,deep_3x16,1,177,188,11.287041656832459,0.009972793653113382,1084.87,10.819184650453114,11.048162281988448,8.915174138633205,0.009229535775259713,9.432182242030425,False,,,,,9.459720156229961,,177,0.0075314706320091995,1
wtmad2_eps_gamma_dfs,deep_3x16,2,177,186,15.24215789086715,0.011654885316111384,1084.87,12.644035432889755,13.822064719148287,8.915174138633205,0.009229535775259713,9.432182242030425,False,,,,,9.437687108723502,,177,0.013919309471741541,3
wtmad2_eps_gamma_dfs,deep_3x16,3,176,184,9.448512026161591,0.011832497967437535,1084.87,12.836722069933957,10.885048129291581,8.915174138633205,0.009229535775259713,9.432182242030425,False,,,,,9.320545220991773,,176,0.010458357502234445,3
wtmad2_eps_gamma_dfs,deep_3x16,4,175,183,8.064474479347835,0.01159546396857829,1084.87,12.57957099559153,9.828270275634052,8.915174138633205,0.009229535775259713,9.432182242030425,False,,,,,9.34367296465779,,175,0.009687670792344338,4
wtmad2_eps_gamma_dfs,deep_3x16,5,176,184,12.634465379046388,0.01168141984134325,1084.87,12.67282194327805,12.653614593921606,8.915174138633205,0.009229535775259713,9.432182242030425,False,,,,,9.320545220991773,,176,0.013273020177731605,4
wtmad2_eps_gamma_dfs,deep_3x16,6,175,183,9.886502320285306,0.01126346302739473,1084.87,12.219393134529719,10.929849806259956,8.915174138633205,0.009229535775259713,9.432182242030425,False,,,,,9.341388791591873,,175,0.012571941188216687,5
wtmad2_eps_gamma_dfs,deep_3x16,7,175,181,6.16380284448976,0.010992290570985518,1084.87,11.925206271745058,8.12699245896661,8.915174138633205,0.009229535775259713,9.432182242030425,True,,,,,9.48819003489076,,175,0.010383830464880214,6
wtmad2_eps_gamma_dfs,deep_3x16,12,169,175,7.438792231246515,0.010746272241670775,1084.87,11.658308366821373,9.082397954939943,8.915174138633205,0.009229535775259713,9.432182242030425,True,,,,,9.560469003646006,,169,0.01037237446637227,11
wtmad2_eps_gamma_dfs,deep_3x16,15,168,171,8.223270369633815,0.010501980847907771,1084.87,11.393283962469702,9.55214181198709,8.915174138633205,0.009229535775259713,9.432182242030425,True,,,,,9.597893178830173,,168,0.009132238611736504,14
wtmad2_eps_gamma_dfs,deep_3x16,18,166,170,7.85944936219426,0.01003839156514924,1084.87,10.890349857283455,9.129927444874582,8.915174138633205,0.009229535775259713,9.432182242030425,True,,,,,9.621701709948232,,166,0.008730690676716557,16
