label,arch,arch_stored,verdict,n_atomizations,mean_abs_dAE_kcalmol,rmse_dAE_kcalmol,max_abs_dAE_kcalmol,species_over_1_kcalmol,tol_AE,tol_AE_aggregate,tol_AE_max_backstop
g1,deep_3x16,medium,PASS,23,0.1623846240242485,0.21132105528198597,0.5194979949766765,,1.0,mae,2.0
g1,deep_attn_3x16,medium_attn,PASS,23,0.030743610129163847,0.04499148805066114,0.11502072883995128,,1.0,mae,2.0
g1,deep_2x8,shallow,PASS,23,0.34284831511055697,0.5044755614658045,1.4212008903517395,C3H8;C4H6,1.0,mae,2.0
g1,deep_attn_2x8,shallow_attn,PASS,23,0.1314492854906329,0.19577575564296118,0.5734102927801907,,1.0,mae,2.0
g2a,deep0_3x16,deep_3x16,PASS,23,0.11362551296965719,0.16625121284251573,0.45011339648194915,,1.0,mae,2.0
g2a,deep0_attn_3x16,deep_attn_3x16,PASS,23,0.041675894894875866,0.05857152423712594,0.14936942845572762,,1.0,mae,2.0
g2a,deep0_cusp_3x16,deep_cusp_3x16,PASS,23,0.18788582089763306,0.28290253825602546,1.0708525063717822,AlCl3,1.0,mae,2.0
mgga,deep0_cusp_mgga_3x16,deep_cusp_mgga_3x16,FAIL,22,2.0621127074642547,2.893083111349923,7.25693505179488,AlCl3;C2H2;C3H8;C4H6;CH2;CH4;CO;CO2;F2;H2O;HCN;O2;PH3;SiCH6,1.0,mae,2.0
mgga,deep0_mgga_3x16,deep_mgga_3x16,FAIL,22,1.4734923346525461,2.1142162336983867,5.60485696494037,AlCl3;C3H8;C4H6;CH4;Cl2;H2O;HCN;HCl;LiF;N2;O2,1.0,mae,2.0
mgga,deep0_rung35_mgga_3x16,deep_rung35_mgga_3x16,FAIL,22,1.7795035854880341,2.4234808404901473,6.302532446521225,AlCl3;C2H2;C3H8;C4H6;CO2;Cl2;F2;H2O;HCN;Na2;O2,1.0,mae,2.0
mgga,deep0_rung35ms_mgga_3x16,deep_rung35ms_mgga_3x16,FAIL,22,0.7099702794510049,1.0865989413466322,3.293536192784216,AlCl3;CO2;H2O;O2,1.0,mae,2.0
