r,jsd_ledger,jsd,jsd_rho,jsd_s,jsd_alpha,point_names,point_kinds,species,n_ae,n_bh76,n_ip13,chosen_indices
1,0.047542566257253366,0.04754256625725302,0.0010929928067678776,0.037637654126770725,0.008811919323714418,H2O,ae,H2O;H,1,0,0,19
2,0.0284192766717929,0.028419276671788757,0.00015017859634066077,0.023719357172493502,0.004549740902954593,HLi;OH+N2_to_H+N2O,ae;bh76,HLi;H;Li;HO;N2;N2O,1,1,0,8;21
3,0.022795807360152208,0.022795807360151167,0.00017430395490527793,0.01995063871013539,0.002670864695110499,OH+N2_to_H+N2O;OH+CH3_to_O+CH4;Li_IP,bh76;bh76;ip13,HO;N2;H;N2O;CH3;O;CH4;Li;Li+,0,2,1,21;22;24
4,0.020272434660810714,0.020272434660810447,8.442193519910191e-05,0.01801025828984766,0.0021777544357636843,CH2;OH+N2_to_H+N2O;OH+CH3_to_O+CH4;Li_IP,ae;bh76;bh76;ip13,CH2;H;HO;N2;N2O;CH3;O;CH4;Li;Li+,1,2,1,18;21;22;24
5,0.01628899477101796,0.016288994771007488,0.00027894561317697003,0.0141821660245569,0.0018278831332736185,HLi;OH+N2_to_H+N2O;OH+CH3_to_O+CH4;Li_IP;C_IP,ae;bh76;bh76;ip13;ip13,HLi;H;Li;HO;N2;N2O;CH3;O;CH4;Li+;C;C+,1,2,2,8;21;22;24;25
6,0.012979860911236178,0.012979860911227133,0.0002134733827804588,0.01120441691128967,0.0015619706171570032,HLi;CH;OH+N2_to_H+N2O;OH+CH3_to_O+CH4;Li_IP;C_IP,ae;ae;bh76;bh76;ip13;ip13,HLi;H;Li;CH;HO;N2;N2O;CH3;O;CH4;Li+;C;C+,2,2,2,8;11;21;22;24;25
7,0.0102385855527328,0.010238585552725952,0.00027083879810059166,0.008766403385100277,0.0012013433695250823,CHN;CO2;HLi;CH;OH+N2_to_H+N2O;Li_IP;C_IP,ae;ae;ae;ae;bh76;ip13;ip13,CHN;H;CO2;HLi;Li;CH;HO;N2;N2O;Li+;C;C+,4,1,2,3;4;8;11;21;24;25
12,0.003358762412389591,0.0033587624123849326,3.768556318996002e-05,0.0029210392525615553,0.00040003759663341737,CO2;C2H2;CO;HLi;CH;NO2;CH2;OH+N2_to_H+N2O;OH+CH3_to_O+CH4;HF+F_to_H+F2;Li_IP;C_IP,ae;ae;ae;ae;ae;ae;ae;bh76;bh76;bh76;ip13;ip13,CO2;C2H2;H;CO;HLi;Li;CH;NO2;CH2;HO;N2;N2O;CH3;O;CH4;HF;F;F2;Li+;C;C+,7,3,2,4;6;7;8;11;13;18;21;22;23;24;25
15,0.0010497086802515089,0.0010497086802422756,7.369863366108215e-05,0.0008061947001677245,0.00016981534641346912,FLi;CHN;CO2;C2H2;CO;HLi;NO;CH;NO2;CH2;OH+N2_to_H+N2O;OH+CH3_to_O+CH4;HF+F_to_H+F2;Li_IP;C_IP,ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;bh76;bh76;bh76;ip13;ip13,FLi;Li;CHN;H;CO2;C2H2;CO;HLi;NO;CH;NO2;CH2;HO;N2;N2O;CH3;O;CH4;HF;F;F2;Li+;C;C+,10,3,2,2;3;4;6;7;8;10;11;13;18;21;22;23;24;25
18,0.00038436814907063973,0.00038436814906906943,2.9022010307331826e-05,0.00028341598059099227,7.19301581707453e-05,N2;FLi;CHN;CO2;C2H2;CO;HLi;Na2;NO;CH;NO2;N2O;CH2;OH+N2_to_H+N2O;OH+CH3_to_O+CH4;HF+F_to_H+F2;Li_IP;C_IP,ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;bh76;bh76;bh76;ip13;ip13,N2;FLi;Li;CHN;H;CO2;C2H2;CO;HLi;Na2;NO;CH;NO2;N2O;CH2;HO;CH3;O;CH4;HF;F;F2;Li+;C;C+,13,3,2,1;2;3;4;6;7;8;9;10;11;13;16;18;21;22;23;24;25
26,5.2243339105222096e-17,0.0,0.0,0.0,0.0,H2;N2;FLi;CHN;CO2;F2;C2H2;CO;HLi;Na2;NO;CH;HO;NO2;HN;O3;N2O;CH3;CH2;H2O;H3N;OH+N2_to_H+N2O;OH+CH3_to_O+CH4;HF+F_to_H+F2;Li_IP;C_IP,ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;ae;bh76;bh76;bh76;ip13;ip13,H2;H;N2;FLi;Li;CHN;CO2;F2;C2H2;CO;HLi;Na2;NO;CH;HO;NO2;HN;O3;N2O;CH3;CH2;H2O;H3N;O;CH4;HF;F;Li+;C;C+,21,3,2,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
