panel,series,x_name,x,y_name,y,grad_norm
a_trajectory,energy,cycle,0.0,E_hartree,-75.8010600711,0.2526
a_trajectory,energy,cycle,1.0,E_hartree,-75.6963103926,0.3936
a_trajectory,energy,cycle,2.0,E_hartree,-75.8142097369,0.09223
a_trajectory,energy,cycle,3.0,E_hartree,-75.8162714374,0.04026
a_trajectory,energy,cycle,4.0,E_hartree,-75.8167079783,0.01081
a_trajectory,energy,cycle,5.0,E_hartree,-75.7156759218,0.2741
a_trajectory,energy,cycle,6.0,E_hartree,-75.7156950827,0.2737
a_trajectory,energy,cycle,7.0,E_hartree,-75.7156818017,0.2738
a_trajectory,energy,cycle,8.0,E_hartree,-75.7156439932,0.2741
a_trajectory,energy,cycle,9.0,E_hartree,-75.7153862375,0.2758
a_trajectory,energy,cycle,10.0,E_hartree,-75.7152103253,0.277
a_trajectory,energy,cycle,11.0,E_hartree,-75.8167115123,0.009939
a_trajectory,energy,cycle,12.0,E_hartree,-75.8167361296,0.003671
a_trajectory,energy,cycle,13.0,E_hartree,-75.8143067064,0.04284
a_trajectory,energy,cycle,14.0,E_hartree,-75.8167347841,0.004277
a_trajectory,energy,cycle,15.0,E_hartree,-75.8117092014,0.06077
a_trajectory,energy,cycle,16.0,E_hartree,-75.7156231281,0.2743
a_trajectory,energy,cycle,17.0,E_hartree,-75.7175242427,0.2715
a_trajectory,energy,cycle,18.0,E_hartree,-75.7203348149,0.268
a_trajectory,energy,cycle,19.0,E_hartree,-75.7180942125,0.2707
a_trajectory,energy,cycle,20.0,E_hartree,-75.8138986212,0.04583
a_trajectory,energy,cycle,21.0,E_hartree,-75.8166894455,0.006807
a_trajectory,energy,cycle,22.0,E_hartree,-75.8141153077,0.04409
a_trajectory,energy,cycle,23.0,E_hartree,-75.8167083597,0.005746
a_trajectory,energy,cycle,24.0,E_hartree,-75.8159203136,0.02458
a_trajectory,energy,cycle,25.0,E_hartree,-75.8167357105,0.003177
a_trajectory,energy,cycle,26.0,E_hartree,-75.8167040652,0.005593
a_trajectory,energy,cycle,27.0,E_hartree,-75.8167155099,0.004686
a_trajectory,energy,cycle,28.0,E_hartree,-75.7160112315,0.2736
a_trajectory,energy,cycle,29.0,E_hartree,-75.7159052208,0.2744
a_trajectory,energy,cycle,30.0,E_hartree,-75.7158248474,0.2746
a_trajectory,energy,cycle,31.0,E_hartree,-75.7159788222,0.2744
