panel,series,x_name,x,y_name,y
a_exchange,pbe_fx,s,0.0,F_x,1.0
a_exchange,pbe_fx,s,0.01,F_x,1.0000219508979542
a_exchange,pbe_fx,s,0.02,F_x,1.0000877964007353
a_exchange,pbe_fx,s,0.03,F_x,1.0001975149409876
a_exchange,pbe_fx,s,0.04,F_x,1.0003510705927385
a_exchange,pbe_fx,s,0.05,F_x,1.0005484131007953
a_exchange,pbe_fx,s,0.06,F_x,1.0007894779218427
a_exchange,pbe_fx,s,0.07,F_x,1.0010741862771684
a_exchange,pbe_fx,s,0.08,F_x,1.0014024452169479
a_exchange,pbe_fx,s,0.09,F_x,1.00177414769598
a_exchange,pbe_fx,s,0.1,F_x,1.002189172660767
a_exchange,pbe_fx,s,0.11,F_x,1.0026473851478
a_exchange,pbe_fx,s,0.12,F_x,1.0031486363929067
a_exchange,pbe_fx,s,0.13,F_x,1.003692763951496
a_exchange,pbe_fx,s,0.14,F_x,1.0042795918295124
a_exchange,pbe_fx,s,0.15,F_x,1.0049089306249135
a_exchange,pbe_fx,s,0.16,F_x,1.0055805776794542
a_exchange,pbe_fx,s,0.17,F_x,1.006294317240552
a_exchange,pbe_fx,s,0.18,F_x,1.0070499206329955
a_exchange,pbe_fx,s,0.19,F_x,1.0078471464402448
a_exchange,pbe_fx,s,0.2,F_x,1.0086857406950527
a_exchange,pbe_fx,s,0.21,F_x,1.0095654370791367
a_exchange,pbe_fx,s,0.22,F_x,1.0104859571316072
a_exchange,pbe_fx,s,0.23,F_x,1.0114470104658535
a_exchange,pbe_fx,s,0.24,F_x,1.0124482949945772
a_exchange,pbe_fx,s,0.25,F_x,1.0134894971626558
a_exchange,pbe_fx,s,0.26,F_x,1.0145702921875042
a_exchange,pbe_fx,s,0.27,F_x,1.0156903443066003
a_exchange,pbe_fx,s,0.28,F_x,1.0168493070318316
a_exchange,pbe_fx,s,0.29,F_x,1.018046823410311
a_exchange,pbe_fx,s,0.3,F_x,1.0192825262913066
a_exchange,pbe_fx,s,0.31,F_x,1.0205560385989245
a_exchange,pbe_fx,s,0.32,F_x,1.0218669736101815
a_exchange,pbe_fx,s,0.33,F_x,1.0232149352380944
a_exchange,pbe_fx,s,0.34,F_x,1.0245995183194192
a_exchange,pbe_fx,s,0.35000000000000003,F_x,1.0260203089066646
a_exchange,pbe_fx,s,0.36,F_x,1.0274768845640039
a_exchange,pbe_fx,s,0.37,F_x,1.028968814666714
a_exchange,pbe_fx,s,0.38,F_x,1.030495660703761
a_exchange,pbe_fx,s,0.39,F_x,1.0320569765831644
a_exchange,pbe_fx,s,0.4,F_x,1.0336523089397605
a_exchange,pbe_fx,s,0.41000000000000003,F_x,1.0352811974450016
a_exchange,pbe_fx,s,0.42,F_x,1.036943175118417
a_exchange,pbe_fx,s,0.43,F_x,1.038637768640378
a_exchange,pbe_fx,s,0.44,F_x,1.0403644986658005
a_exchange,pbe_fx,s,0.45,F_x,1.0421228801384386
a_exchange,pbe_fx,s,0.46,F_x,1.0439124226054095
a_exchange,pbe_fx,s,0.47000000000000003,F_x,1.0457326305316141
a_exchange,pbe_fx,s,0.48,F_x,1.0475830036137133
a_exchange,pbe_fx,s,0.49,F_x,1.0494630370933251
a_exchange,pbe_fx,s,0.5,F_x,1.0513722220691275
a_exchange,pbe_fx,s,0.51,F_x,1.0533100458075433
a_exchange,pbe_fx,s,0.52,F_x,1.0552759920517052
a_exchange,pbe_fx,s,0.53,F_x,1.0572695413283992
a_exchange,pbe_fx,s,0.54,F_x,1.059290171252699
a_exchange,pbe_fx,s,0.55,F_x,1.061337356830009
a_exchange,pbe_fx,s,0.56,F_x,1.063410570755242
a_exchange,pbe_fx,s,0.5700000000000001,F_x,1.0655092837088784
a_exchange,pbe_fx,s,0.58,F_x,1.0676329646496474
a_exchange,pbe_fx,s,0.59,F_x,1.0697810811035913
a_exchange,pbe_fx,s,0.6,F_x,1.0719530994492863
a_exchange,pbe_fx,s,0.61,F_x,1.0741484851989926
a_exchange,pbe_fx,s,0.62,F_x,1.076366703275532
a_exchange,pbe_fx,s,0.63,F_x,1.0786072182846866
a_exchange,pbe_fx,s,0.64,F_x,1.0808694947829378
a_exchange,pbe_fx,s,0.65,F_x,1.0831529975403624
a_exchange,pbe_fx,s,0.66,F_x,1.0854571917985263
a_exchange,pbe_fx,s,0.67,F_x,1.0877815435232119
a_exchange,pbe_fx,s,0.68,F_x,1.090125519651846
a_exchange,pbe_fx,s,0.6900000000000001,F_x,1.0924885883354833
a_exchange,pbe_fx,s,0.7000000000000001,F_x,1.0948702191752313
a_exchange,pbe_fx,s,0.71,F_x,1.0972698834529986
a_exchange,pbe_fx,s,0.72,F_x,1.0996870543564699
a_exchange,pbe_fx,s,0.73,F_x,1.1021212071982132
a_exchange,pbe_fx,s,0.74,F_x,1.1045718196288377
a_exchange,pbe_fx,s,0.75,F_x,1.1070383718441337
a_exchange,pbe_fx,s,0.76,F_x,1.1095203467861332
a_exchange,pbe_fx,s,0.77,F_x,1.1120172303380373
a_exchange,pbe_fx,s,0.78,F_x,1.114528511512971
a_exchange,pbe_fx,s,0.79,F_x,1.1170536826365325
a_exchange,pbe_fx,s,0.8,F_x,1.119592239523111
a_exchange,pbe_fx,s,0.81,F_x,1.122143681645961
