leg,arch,subset_size,n_reactions,n_density_species,E_kcalmol,D_rmse,gamma,gammaD_kcalmol,ED_kcalmol,E_pbe_kcalmol,D_pbe_rmse,ED_pbe_kcalmol,beats_pbe,E_scan_kcalmol,D_scan_rmse,ED_scan_kcalmol,beats_scan,ED_pbe_cell_kcalmol,ED_scan_cell_kcalmol,n_reactions_slice
wtmad2,deep,1,4,5,67.82592485083052,0.004,13842.417029511369,55.369668118045475,60.968072936485065,69.21208514755685,0.005,69.21208514755685,False,,,,,59.324644412191574,,4
wtmad2,deep,3,4,5,66.63431059506532,0.0044,13842.417029511369,60.90663492985003,63.641862031249424,69.21208514755685,0.005,69.21208514755685,False,,,,,58.88255924018402,,4
wtmad2,deep_notransform,1,4,5,65.44269633930011,0.0048,13842.417029511369,66.44360174165456,65.9393510279505,69.21208514755685,0.005,69.21208514755685,False,,,,,58.431600828843614,,4
wtmad2,deep_notransform,3,4,5,64.25108208353493,0.005200000000000001,13842.417029511369,71.98056855345912,67.89654822389609,69.21208514755685,0.005,69.21208514755685,False,,,,,57.971499323366174,,4
mae,deep,1,4,5,30.425,0.004,6245.0,24.98,27.434942694702645,31.225,0.005,31.225,False,,,,,26.764285714285716,,4
mae,deep,3,4,5,29.925,0.0044,6245.0,27.478,28.649344110934965,31.225,0.005,31.225,False,,,,,26.57891607987995,,4
mae,deep_notransform,1,4,5,29.425,0.0048,6245.0,29.976,29.697944479049173,31.225,0.005,31.225,False,,,,,26.390090877315625,,4
mae,deep_notransform,3,4,5,28.925,0.005200000000000001,6245.0,32.474000000000004,30.596929917425367,31.225,0.005,31.225,False,,,,,26.1977125720334,,4
wtmad2_eps_gamma_dfs,deep,1,4,5,67.82592485083052,0.0032500000000000003,1084.87,3.5258275,6.703199379775516,69.21208514755685,0.0045,9.120509514676982,True,,,,,9.120509514676982,,4
wtmad2_eps_gamma_dfs,deep,3,4,5,66.63431059506532,0.003575,1084.87,3.8784102499999995,7.330172204854606,69.21208514755685,0.0045,9.120509514676982,True,,,,,9.109994222866442,,4
wtmad2_eps_gamma_dfs,deep_notransform,1,4,5,65.44269633930011,0.0039,1084.87,4.230993,7.948124829856635,69.21208514755685,0.0045,9.120509514676982,True,,,,,9.09912946691435,,4
wtmad2_eps_gamma_dfs,deep_notransform,3,4,5,64.25108208353493,0.0042250000000000005,1084.87,4.58357575,8.556727410821109,69.21208514755685,0.0045,9.120509514676982,True,,,,,9.087897531360037,,4
