run,channel,idx,arch,subset_size,n_slice_rows,bh76_mae_nn,bh76_mae_pbe,bh76_n,w411_mae_nn,w411_mae_pbe,w411_n,combined_mae_nn,combined_mae_pbe,combined_n
run_20260810T202813Z,eval_holdout_val_best,0,deep_3x16,1,120,5.4868734236781656,6.628451441309582,38,7.526593069078967,13.826366600160554,81,6.875254022648459,11.527872683888816,119
run_20260810T202813Z,eval_holdout_val_best,1,deep_3x16,2,120,3.98401412512562,6.628451441312398,38,11.806322134364835,13.826366600155268,81,9.30844226586828,11.527872683886118,119
run_20260810T202813Z,eval_holdout_val_best,2,deep_3x16,3,120,4.421469978899407,6.628451441313337,38,11.845401419971202,13.82636660014294,81,9.47473423710794,11.527872683878025,119
run_20260810T202813Z,eval_holdout_val_best,3,deep_3x16,4,120,5.365137095353735,6.6284514413222535,38,13.177958234323173,13.826366600158792,81,10.683107786585031,11.527872683891662,119
run_20260810T202813Z,eval_holdout_val_best,4,deep_3x16,5,120,4.066766359620021,6.628451441313337,38,11.063772193782938,13.826366600165837,81,8.82943419631915,11.527872683893612,119
run_20260810T202813Z,eval_holdout_val_best,5,deep_3x16,6,120,3.5878817370474043,6.628451441317091,38,11.431751808437921,13.826366600146462,81,8.926986575556915,11.527872683881622,119
run_20260810T202813Z,eval_holdout_val_best,6,deep_3x16,7,120,4.184168567288157,6.628451441317091,38,8.545108626374724,13.826366600162316,81,7.152539531876492,11.527872683892411,119
run_20260810T202813Z,eval_holdout_val_best,7,deep_3x16,12,120,4.179061751362049,6.628451441312867,38,10.662056684515653,13.826366600151745,81,8.591856621827947,11.527872683883869,119
run_20260810T202813Z,eval_holdout_val_best,8,deep_3x16,15,120,4.236112717118684,6.62845144131803,38,9.701005172341182,13.826366600135895,81,7.955913463950804,11.527872683874726,119
run_20260810T202813Z,eval_holdout_val_best,9,deep_3x16,18,120,4.379937264942481,6.628451441318499,38,8.806785866811152,13.826366600158792,81,7.393170346886702,11.527872683890463,119
run_20260810T202813Z,eval_holdout_val_best,10,deep_3x16,26,120,4.29662315676494,6.628451441311928,38,11.269191010181226,13.826366600149985,81,9.042656737661739,11.527872683882372,119
run_20260810T202813Z,eval_holdout_val_best,11,deep_attn_3x16,1,120,6.493881780933057,6.628451441313337,38,9.353878892962685,13.826366600169363,81,8.440602504247341,11.52787268389601,119
run_20260810T202813Z,eval_holdout_val_best,12,deep_attn_3x16,2,120,4.554564105753298,6.628451441318499,38,28.686190125698317,13.826366600164077,81,20.980292741178058,11.52787268389406,119
run_20260810T202813Z,eval_holdout_val_best,13,deep_attn_3x16,3,120,4.633162923410671,6.628451441308644,38,12.584141815473643,13.826366600160554,81,10.045173765907315,11.527872683888516,119
run_20260810T202813Z,eval_holdout_val_best,14,deep_attn_3x16,4,120,4.411607209123946,6.628451441314745,38,19.325207613307164,13.826366600149985,81,14.562881433820088,11.527872683883269,119
run_20260810T202813Z,eval_holdout_val_best,15,deep_attn_3x16,5,120,3.968644325212953,6.628451441314276,38,8.470466217993941,13.826366600157032,81,7.032909647189928,11.527872683887916,119
run_20260810T202813Z,eval_holdout_val_best,16,deep_attn_3x16,6,120,4.447035553085194,6.6284514413114595,38,11.4118804755673,13.82636660017993,81,9.187812349060408,11.527872683902604,119
run_20260810T202813Z,eval_holdout_val_best,17,deep_attn_3x16,7,120,4.435237061262336,6.6284514413114595,38,6.771482045199787,13.826366600127086,81,6.025454235202954,11.527872683866635,119
run_20260810T202813Z,eval_holdout_val_best,18,deep_attn_3x16,12,120,5.280534369044009,6.628451441315683,38,5.1705143073230015,13.82636660014294,81,5.20564676400702,11.527872683878773,119
run_20260810T202813Z,eval_holdout_val_best,19,deep_attn_3x16,15,120,5.3156430009513365,6.628451441312867,38,5.440115167067068,13.826366600157032,81,5.4003677526771705,11.527872683887466,119
run_20260810T202813Z,eval_holdout_val_best,20,deep_attn_3x16,18,120,4.4761251184621935,6.62845144131099,38,7.730748403773701,13.826366600148223,81,6.691456934514563,11.52787268388087,119
run_20260810T202813Z,eval_holdout_val_best,21,deep_attn_3x16,26,120,4.858272643971841,6.628451441314745,38,4.846942557755142,13.826366600146462,81,4.850560568479802,11.52787268388087,119
run_20260810T202813Z,eval_holdout_val_best,22,deep_cusp_3x16,1,120,5.65590396225423,6.628451441314745,38,11.905964034845184,13.826366600177728,81,9.910146532673282,11.527872683902155,119
run_20260810T202813Z,eval_holdout_val_best,23,deep_cusp_3x16,2,120,6.169406658710247,6.628451441323662,38,21.443150740313445,13.826366600140735,81,16.565820697448558,11.527872683879822,119
run_20260810T202813Z,eval_holdout_val_best,24,deep_cusp_3x16,3,120,5.936131299471886,6.628451441317091,38,19.020250848926942,13.826366600151305,81,14.842128639857261,11.527872683884919,119
run_20260810T202813Z,eval_holdout_val_best,25,deep_cusp_3x16,4,120,7.18922233762546,6.628451441307705,38,34.40826892191256,13.826366600140735,81,25.716472533652812,11.527872683874726,119
run_20260810T202813Z,eval_holdout_val_best,26,deep_cusp_3x16,5,120,6.0077807278748345,6.628451441314745,38,20.21792887787302,13.826366600151305,81,15.68023451064671,11.52787268388417,119
