Model,Frob Norm,Max Abs,RMSD,Trace Diff
PBE,2.5129224621711526,1.2423647441848407,0.3589889231673075,-0.699328019269112
Pre-trained,2.5089109635998836,1.2410083967194283,0.35841585194284054,-0.700932962510695
Energy-only,2.5562408253664213,1.2582443381035422,0.3651772607666316,-0.6545729198227654
DM-All,2.542152921346579,1.2542677930827195,0.3631647030495113,-0.6624817378420005
DM-All-HW,2.4796744415550878,1.223128094567178,0.3542392059364411,-0.7180780267483389
Grid-All,2.548281099282173,1.2567448914665489,0.36404015704031045,-0.6620473879986584
Mol-DM,2.4810422621391277,1.2235268409714053,0.3544346088770182,-0.7176821179097477
Mol-Grid,2.5485122771053117,1.2563347891127274,0.364073182443616,-0.6612210731294415
Pre-trained (Attn),2.509838882313088,1.241318507363736,0.3585484117590126,-0.700461443451994
Energy-only (Attn),2.5548084551039536,1.2574270710238222,0.3649726364434219,-0.6528525470750957
DM-All (Attn),2.5559885979289714,1.2567383329597637,0.36514122827556733,-0.6550560709912396
Grid-All (Attn),2.555429564894154,1.2611536037246853,0.36506136641345055,-0.6621395185623751
Mol-DM (Attn),2.4871698912769435,1.2243313414517512,0.3553099844681348,-0.7138225207079376
Mol-Grid (Attn),2.5502353919804213,1.2581520743582617,0.3643193417114887,-0.6644251368976786
