Model,E(H) Ha,E(O) Ha,E(H2O) Ha,AE (Ha),AE (kcal/mol),ΔAE (mHa),ΔAE (kcal/mol)
Reference Target,-0.5,-75.0673,-76.4386349838126,-0.37133498381260716,-233.01604435726532,---,---
PBE,-0.4643756629539477,-73.94876648324686,-75.22560358178214,-0.3480857726273854,-218.42695509563796,23.249211185221775,14.58908926162733
Random,-0.38438241940302287,-73.64816622579644,-75.04412613806933,-0.6271950734668366,-393.57055335610113,-255.8600896542294,-160.55450899883584
Pre-trained,-0.40144507275775015,-73.84853100578177,-75.22370706086278,-0.5722859095655082,-359.1145588255425,-200.95092575290101,-126.09851446827717
Energy-only,-0.4651881530974526,-75.09011389279274,-76.49391740249094,-0.4734272035032916,-297.079831043147,-102.09221969068444,-64.06378668588171
DM-All,-0.465263982509383,-75.25345605275041,-76.6810170390325,-0.49703302126332005,-311.8926941399247,-125.6980374507129,-78.8766497826594
DM-All-HW,-0.34551024249036294,-73.19904741525752,-74.5001724333569,-0.6101045331186441,-382.84608547274723,-238.76954930603694,-149.83004111548195
Grid-All,-0.4592144572810967,-75.02758120769312,-76.45090133652307,-0.504891214267758,-316.82378097394655,-133.5562304551508,-83.80773661668123
Mol-DM,-0.34299834043321087,-73.0992557030157,-74.39733383368551,-0.6120814498033837,-384.08661848467153,-240.74646599077658,-151.07057412740625
Mol-Grid,-0.45855334450517443,-75.02913068235526,-76.44551237022569,-0.49927499886007354,-313.2995552596859,-127.94001504746639,-80.28351090242059
Pre-trained (Attn),-0.4015452219893469,-73.84664595403781,-75.22063296828799,-0.5708965702714863,-358.24273591449014,-199.56158645887916,-125.22669155722481
Energy-only (Attn),-0.46857673508419223,-75.2534765385872,-76.65859213404315,-0.46796212528757053,-293.6504452770781,-96.62714147496338,-60.63440091981279
DM-All (Attn),-0.4544657653018777,-74.96923880213217,-76.35215358197968,-0.47398324924375856,-297.4287547497017,-102.64826543115142,-64.4127103924364
Grid-All (Attn),-0.4681497488187977,-75.0170251703195,-76.44642635702542,-0.4931016890683253,-309.4257478055757,-121.76670525571815,-76.40970344831044
Mol-DM (Attn),-0.3386449491860438,-73.03771142547339,-74.31482648437593,-0.5998251605304574,-376.3956866593068,-228.49017671785026,-143.3796423020415
Mol-Grid (Attn),-0.46331342080044907,-74.91572287051224,-76.32673500684292,-0.4843852947297904,-303.95613191059607,-113.05031091718327,-70.94008755333076
