Model,Int Sq Err,Int Abs Err,Max Abs Err,N Elec Diff
PBE,0.4577676072672966,2.510643134609003,7.105551807711009,0.013989554977651864
Pre-trained,0.4562147279372219,2.5051756404278884,7.099283760346395,0.013989553711279967
Energy-only,0.4719943053932451,2.556405600554243,7.310979406145435,0.013989759322576845
DM-All,0.4670296321106928,2.538285034273349,7.292353935292397,0.013989755094417688
DM-All-HW,0.44539691673384907,2.466532956472976,7.05171934681843,0.01398940346828681
Grid-All,0.46946980761307755,2.547891753241088,7.28007793873698,0.013989746756561061
Mol-DM,0.44581090088772984,2.4684745479971033,7.046778129149146,0.013989400705073152
Mol-Grid,0.46946964710018796,2.547723148158869,7.2856928261287806,0.013989745136917975
Pre-trained (Attn),0.4565585359432977,2.5063914933246303,7.100975871818889,0.013989554523064385
Energy-only (Attn),0.47121943516019993,2.5531516110642265,7.323921526463948,0.013989769990487844
DM-All (Attn),0.47200563896122816,2.5558934671301268,7.319070638032883,0.01398973965921435
Grid-All (Attn),0.47249740496232595,2.559756692520975,7.260715184461816,0.013989753605139654
Mol-DM (Attn),0.44805732515512386,2.475797315025776,7.071745145709713,0.013989395857542775
Mol-Grid (Attn),0.47040629623753843,2.5524332022493104,7.254484960558642,0.013989734303105905
