leg,arch,arch_stored,subset_size,n_reactions,n_density_species,E_kcalmol,D_rmse,gamma,gammaD_kcalmol,ED_kcalmol,E_pbe_kcalmol,D_pbe_rmse,ED_pbe_kcalmol,beats_pbe,E_scan_kcalmol,D_scan_rmse,ED_scan_kcalmol,beats_scan,ED_pbe_cell_kcalmol,ED_scan_cell_kcalmol,n_reactions_slice,D_insample_rmse,n_insample_species
bh76_wtmad2_eps_gamma_dfs,deep0_4x32,deep,1,1,1,18.946666666670943,0.002,1084.87,2.16974,3.893592426236751,37.89333333333763,0.005,9.490198313929666,True,,,,,9.490198313929666,,1,,
bh76_wtmad2_eps_gamma_dfs,deep0_4x32,deep,3,1,1,20.84133333331974,0.0022,1084.87,2.386714,4.282951668860039,37.89333333333763,0.005,9.490198313929666,True,,,,,9.490198313929666,,1,,
bh76_wtmad2_eps_gamma_dfs,deep0_notransform_4x32,deep_notransform,1,1,1,22.73600000002237,0.0024,1084.87,2.6036879999999996,4.672310911484465,37.89333333333763,0.005,9.490198313929666,True,,,,,9.490198313929666,,1,,
bh76_wtmad2_eps_gamma_dfs,deep0_notransform_4x32,deep_notransform,3,1,1,24.630666666671164,0.0026000000000000003,1084.87,2.820662,5.061670154107754,37.89333333333763,0.005,9.490198313929666,True,,,,,9.490198313929666,,1,,
w411_wtmad2_eps_gamma_dfs,deep0_4x32,deep,1,1,2,14.209999999998388,0.003,1084.87,3.2546099999999996,5.296197063661773,17.052000000000174,0.0055,8.840224870252731,True,,,,,9.77360182474042,,1,,
w411_wtmad2_eps_gamma_dfs,deep0_4x32,deep,3,2,2,11.033647058823377,0.0033,1084.87,3.580071,5.406049261458011,17.052000000000174,0.0055,8.840224870252731,True,,,,,8.840224870252731,,2,,
w411_wtmad2_eps_gamma_dfs,deep0_notransform_4x32,deep_notransform,1,1,2,13.073199999997,0.0036,1084.87,3.9055319999999996,6.014324384459016,17.052000000000174,0.0055,8.840224870252731,True,,,,,9.77360182474042,,1,,
w411_wtmad2_eps_gamma_dfs,deep0_notransform_4x32,deep_notransform,3,2,2,10.364941176470097,0.0039000000000000007,1084.87,4.230993000000001,6.009069790648024,17.052000000000174,0.0055,8.840224870252731,True,,,,,8.840224870252731,,2,,
combined_wtmad2_eps_gamma_dfs,deep0_4x32,deep,1,2,3,16.578333333334665,0.0026666666666666666,1084.87,2.8929866666666664,4.926311856503766,23.99911111111266,0.005,8.848692399848073,True,,,,,9.294796039223217,,2,,
combined_wtmad2_eps_gamma_dfs,deep0_4x32,deep,3,3,3,14.30287581698883,0.0029333333333333334,1084.87,3.182285333333333,5.206223899864136,23.99911111111266,0.005,8.848692399848073,True,,,,,8.848692399848073,,3,,
combined_wtmad2_eps_gamma_dfs,deep0_notransform_4x32,deep_notransform,1,2,3,17.904600000009683,0.0031999999999999997,1084.87,3.4715839999999996,5.815567725877121,23.99911111111266,0.005,8.848692399848073,True,,,,,9.294796039223217,,2,,
combined_wtmad2_eps_gamma_dfs,deep0_notransform_4x32,deep_notransform,3,3,3,15.12018300653712,0.003466666666666667,1084.87,3.7608826666666664,6.023519558730957,23.99911111111266,0.005,8.848692399848073,True,,,,,8.848692399848073,,3,,
